locus tag	gene name	function	log2FC	logCPM	PValue	q.value
SL1344_2690	SL1344_2690	hypothetical bacteriophage terminase	-0.020	5.792	1.000	1.000
SL1344_2691	SL1344_2691	hypothetical major capsid protein	-0.063	6.677	0.729	0.975
SL1344_2692	SL1344_2692	hypothetical capsid protein	0.154	5.837	0.448	0.855
SL1344_2693	SL1344_2693	probable terminase subunit	-0.303	6.781	0.055	0.342
SL1344_2694	SL1344_2694	probable capsid portal protein	-0.047	6.783	0.777	0.990
SL1344_2696	SL1344_2696	predicted bacteriophage protein	-0.034	8.540	0.786	0.990
SL1344_2697	SL1344_2697	predicted bacteriophage protein	-0.385	5.297	0.199	0.650
SL1344_2698	SL1344_2698	predicted bacteriophage protein	-0.003	8.115	0.988	1.000
SL1344_2699	SL1344_2699	hypothetical bacteriophage sos operon Tum protein	0.259	4.681	0.437	0.848
SL1344_2700	SL1344_2700	predicted bacteriophage protein	-0.031	3.467	1.000	1.000
SL1344_2701	SL1344_2701	predicted bacteriophage protein	0.015	6.629	0.973	1.000
SL1344_2702	SL1344_2702	DNA adenine methylase	-0.070	7.440	0.609	0.945
SL1344_2703	SL1344_2703	hypothetical bacteriophage protein	0.337	5.902	0.087	0.442
SL1344_2704	SL1344_2704	hypothetical bacteriophage protein	-0.333	5.373	0.195	0.647
SL1344_2705	SL1344_2705	hypothetical bacteriophage protein	0.000	6.019	1.000	1.000
SL1344_2706	cIIc	bacteriophage regulatory protein	-0.192	3.865	0.691	0.968
SL1344_2707	apl	bacteriophage regulatory protein	0.372	4.263	0.353	0.799
SL1344_2709	SL1344_2709	bacteriophage integrase	0.054	6.995	0.699	0.970
SL1344_2710	SL1344_2710	conserved hypothetical protein	0.110	7.321	0.458	0.861
SL1344_2712	SL1344_2712	bacteriophage integrase	-0.060	7.716	0.645	0.957
SL1344_2713	SL1344_2713	conserved hypothetical protein	0.014	7.564	0.918	1.000
SL1344_2714	SL1344_2714	hypothetical protein	0.186	3.852	0.786	0.990
SL1344_2715	SL1344_2715	hypothetical protein	-0.232	6.560	0.139	0.557
SL1344_2716	SL1344_2716	bacteriophage polarity suppression protein	-0.205	5.282	0.381	0.814
SL1344_2717	SL1344_2717	bacteriophage gene regulatory protein	0.488	4.580	0.114	0.521
SL1344_2718	SL1344_2718	probable bacteriophage capsid protein	0.081	5.963	0.715	0.975
SL1344_2719	SL1344_2719	predicted bacteriophage protein	0.150	3.944	0.744	0.976
SL1344_2720	SL1344_2720	predicted bacteriophage protein	0.604	3.742	0.137	0.552
SL1344_2721	SL1344_2721	hypothetical P4 bacteriophage protein	-0.320	4.595	0.297	0.751
SL1344_2722	SL1344_2722	bacteriophage P4 DNA primase	0.040	7.594	0.760	0.985
SL1344_2723	SL1344_2723	pseudogene	0.079	6.124	0.665	0.963
SL1344_2725	SL1344_2725	conserved hypothetical protein	0.019	6.739	0.880	1.000
SL1344_2726	SL1344_2726	conserved hypothetical protein	0.050	8.820	0.677	0.964
SL1344_2727	SL1344_2727	conserved hypothetical protein	-0.088	8.005	0.505	0.889
SL1344_2729	SL1344_2729	hypothetical inner membrane protein	0.089	7.220	0.532	0.902
SL1344_2730	SL1344_2730	hypothetical ATPase	-0.006	6.578	1.000	1.000
SL1344_2731	SL1344_2731	conserved hypothetical protein	0.095	7.453	0.462	0.861
SL1344_2732	SL1344_2732	hypothetical transcriptional regulator	0.401	7.038	0.007	0.073
SL1344_2733	SL1344_2733	regulator for maltose metabolism	-0.200	3.096	0.818	1.000
SL1344_2734	SL1344_2734	glucitol/sorbitol permease IIC component	0.082	3.932	0.924	1.000
SL1344_2735	SL1344_2735	hypothetical PTS enzyme III glucitol	0.082	5.130	0.808	0.998
SL1344_2736	SL1344_2736	glucitol/sorbitol-specific phosphotransferase enzyme IIB component	0.118	3.283	0.908	1.000
SL1344_2737	SL1344_2737	hypothetical dehydrogenase	-0.132	6.198	0.539	0.904
SL1344_2738	SL1344_2738	hypothetical hexulose 6 phosphate synthase	-0.124	6.996	0.372	0.807
SL1344_2739	hxlA	3-hexulose-6-phosphate synthase	-0.394	5.239	0.180	0.627
SL1344_2740	hxlB	6-phospho 3-hexuloisomerase	-0.148	4.667	0.654	0.960
SL1344_2741	SL1344_2741	hypothetical glucose-6-phosphate isomerase	0.169	5.253	0.550	0.914
SL1344_2742	SL1344_2742	PTS system, glucose-specific IIbc component	0.099	5.963	0.591	0.937
SL1344_2743	SL1344_2743	hypothetical solute-binding protein	-0.271	7.136	0.042	0.292
SL1344_2744	SL1344_2744	DNA-binding bacteriophage protein	0.099	6.692	0.552	0.914
SL1344_2745	SL1344_2745	hypothetical inner membrane protein	0.118	5.372	0.610	0.945
SL1344_2746	SL1344_2746	hypothetical inner membrane protein	0.044	5.827	0.901	1.000
SL1344_2747	SL1344_2747	pseudogene	0.155	7.617	0.236	0.686
SL1344_2747A	SL1344_2747A	pseudogene	0.065	6.937	0.669	0.963
SL1344_2750	SL1344_2750	hypothetical transposase	1.870	1.230	0.232	0.682
SL1344_2751	SL1344_2751	conserved hypothetical protein	0.060	6.128	0.745	0.976
SL1344_2752	SL1344_2752	hypothetical DNA/RNA helicase	-0.096	7.915	0.460	0.861
SL1344_2753	SL1344_2753	IS3 transposase	0.716	3.422	0.145	0.566
SL1344_2754	SL1344_2754	hypothetical transposase	1.578	1.882	0.117	0.523
SL1344_2755	fljA	repressor of phase 1 flagellin gene	0.058	6.566	0.696	0.970
SL1344_2756	fljB	flagellin	-0.008	7.241	0.949	1.000
SL1344_2757	hin	DNA-invertase hin	-0.076	7.157	0.575	0.931
SL1344_2758	iroB	hypothetical glycosyltransferase	-0.075	5.759	0.708	0.972
SL1344_2759	iroC	hypothetical ABC transporter protein	0.087	7.287	0.578	0.932
SL1344_2760	iroD	hypothetical ferric enterochelin esterase	0.154	5.948	0.436	0.848
SL1344_2761	iroE	hypothetical exported protein	0.233	6.614	0.128	0.543
SL1344_2762	iroN	TonB-dependent outer membrane siderophore receptor protein	-0.026	8.773	0.832	1.000
SL1344_2763	pipB2	Type III secretion system effector protein, Contributes to Sif formation	0.165	9.333	0.157	0.588
SL1344_2764	virK	virulence protein	0.249	9.315	0.047	0.314
SL1344_2765	mig14	hypothetical transcriptional regulator	0.541	8.440	0.000	0.001
SL1344_2767	nixA	hypothetical cation transporter	-0.383	5.600	0.059	0.357
SL1344_2768	tctE	hypothetical two-component system sensor kinase	-0.002	6.720	0.974	1.000
SL1344_2769	tctD	transcriptional regulator	-0.498	4.847	0.099	0.483
SL1344_2770	SL1344_2770	hypothetical exported protein	-0.126	5.422	0.690	0.968
SL1344_2771	SL1344_2771	hypothetical membrane protein	0.343	5.064	0.159	0.590
SL1344_2772	SL1344_2772	hypothetical membrane protein	0.097	6.380	0.565	0.925
SL1344_2773	csiD	Protein csiD.	0.059	5.923	0.832	1.000
SL1344_2774	ygaF	hypothetical GAB DTP gene cluster repressor	-0.661	3.534	0.109	0.508
SL1344_2775	gabD	succinate-semialdehyde dehydrogenase	0.249	4.623	0.429	0.843
SL1344_2776	gabT	4-aminobutyrate aminotransferase	0.018	6.281	1.000	1.000
SL1344_2777	gabP	GabA permease (4-amino butyrate transport carrier)	-0.069	7.830	0.588	0.937
SL1344_2778	ygaE	hypothetical transcriptional regulator	-0.032	7.404	0.815	1.000
SL1344_2779	ygaU	conserved hypothetical protein	0.123	6.190	0.506	0.890
SL1344_2780	yqaE	conserved hypothetical protein	0.277	4.531	0.479	0.872
SL1344_2781	SL1344_2781	hypothetical transcriptional regulator	-0.787	2.230	0.400	0.826
SL1344_2782	ygaP	conserved hypothetical protein	-0.028	4.269	1.000	1.000
SL1344_2783	stpA	DNA-binding protein StpA	0.020	6.045	1.000	1.000
SL1344_2784	SL1344_2784	hypothetical membrane protein	-0.057	7.066	0.665	0.963
SL1344_2785	ygaC	conserved hypothetical protein	-0.317	4.785	0.254	0.701
SL1344_2786	ygaM	conserved hypothetical protein	0.439	2.122	0.667	0.963
SL1344_2787	SL1344_2787	hypothetical transcriptional regulator	-0.054	5.626	0.885	1.000
SL1344_2788	SL1344_2788	conserved hypothetical protein	0.287	5.062	0.266	0.709
SL1344_2789	SL1344_2789	hypothetical protein	0.169	4.621	0.560	0.922
SL1344_2790	nrdH	hypothetical glutaredoxin	0.062	4.572	0.944	1.000
SL1344_2791	nrdI	NrdI protein.	-0.598	3.654	0.240	0.691
SL1344_2792	nrdE	ribonucleoside-diphosphate reductase 2 alpha chain	-0.018	7.066	0.925	1.000
SL1344_2793	nrdF	ribonucleoside-diphosphate reductase 2 beta chain	0.145	6.893	0.338	0.790
SL1344_2794	proV	glycine betaine/l-proline transport ATP-binding protein	0.056	8.892	0.640	0.956
SL1344_2795	proW	glycine betaine/L-proline transport system permease protein P	-0.140	6.079	0.491	0.880
SL1344_2796	proX	glycine betaine-binding periplasmic protein precursor	-0.059	6.439	0.705	0.972
SL1344_2797	SL1344_2797	hypothetical transmembrane transport protein	-0.008	6.994	1.000	1.000
SL1344_2798	emrR	hypothetical transcriptional regulator	0.486	5.026	0.153	0.578
SL1344_2799	emrA	multidrug resistance protein A	0.447	5.515	0.048	0.317
SL1344_2800	emrB	multidrug resistance protein B	0.042	6.449	0.831	1.000
SL1344_2801	SL1344_2801	hypothetical glycoporin	-0.081	8.426	0.531	0.902
SL1344_2802	luxS	S-ribosylhomocysteinase	0.294	5.513	0.224	0.676
SL1344_2803	gshA	Glutamate--cysteine ligase	0.066	4.964	0.830	1.000
SL1344_2804	yqaA	hypothetical membrane protein	-0.233	4.552	0.468	0.865
SL1344_2805	yqaB	conserved hypothetical protein	0.238	5.223	0.334	0.789
SL1344_2808	oraA	Regulatory protein recX.	0.251	6.130	0.155	0.583
SL1344_2809	recA	RecA protein	-1.172	1.513	0.371	0.805
SL1344_2810	ygaD	conserved hypothetical protein	0.123	3.280	0.801	0.996
SL1344_2811	mltB	membrane-bound lytic transglycosylase B precursor	0.139	6.609	0.379	0.812
SL1344_2812	srlA	PTS system, glucitol/sorbitol-specific IIBC component	1.059	3.796	0.052	0.335
SL1344_2813	srlE	PTS system, glucitol/sorbitol-specific IIBC component	-0.156	5.772	0.417	0.838
SL1344_2814	slrB	PTS system, glucitol/sorbitol-specific IIA component	0.136	4.799	0.703	0.972
SL1344_2815	gutD	sorbitol-6-phosphate 2-dehydrogenase (glucitol-6-phosphate dehydrogenase)	0.140	3.962	0.770	0.988
SL1344_2816	gutM	glucitol operon activator protein	-0.646	2.128	0.488	0.879
SL1344_2817	srlR	glucitol operon repressor	-0.571	5.580	0.005	0.056
SL1344_2818	gutQ	hypothetical phosphosugar binding protein	-0.347	4.274	0.352	0.798
SL1344_2819	norR	transcriptional activator of norVW. NO responsive	0.256	6.780	0.085	0.438
SL1344_2820	norV	NO reductase. Flavorubredoxin	-0.034	5.925	0.898	1.000
SL1344_2821	norW	NADH:flavorubredoxin oxidoreducatase	0.004	6.519	0.973	1.000
SL1344_2822	hydA	hydrogenase maturation protein	0.180	5.945	0.349	0.796
SL1344_2823	hydN	electron transport protein	0.230	5.975	0.242	0.692
SL1344_2824	SL1344_2824	hypothetical exported protein	0.255	5.250	0.303	0.755
SL1344_2825	hycI	hydrogenase 3 maturation protease	1.086	2.848	0.099	0.483
SL1344_2826	hycH	formate hydrogenlyase maturation protein	-0.012	4.827	1.000	1.000
SL1344_2827	hycG	formate hydrogenlyase subunit 7	-1.198	2.125	0.118	0.524
SL1344_2828	hycF	formate hydrogenlyase subunit 6	0.109	6.467	0.505	0.889
SL1344_2829	hycE	formate hydrogenlyase subunit 5	0.094	6.006	0.625	0.952
SL1344_2830	hycD	formate hydrogenlyase subunit 4	-0.133	5.066	0.678	0.964
SL1344_2831	hycC	formate hydrogenlyase subunit 3	0.271	5.130	0.266	0.709
SL1344_2832	hycB	formate hydrogenlyase subunit 2	0.188	4.531	0.604	0.944
SL1344_2833	hycA	formate hydrogenlyase regulatory protein	-0.026	5.422	0.914	1.000
SL1344_2834	SL1344_2834	Probable hydrogenase nickel incorporation protein	-0.079	2.179	1.000	1.000
SL1344_2835	hypB	hydrogenase isoenzymes formation protein HypB	0.358	5.109	0.193	0.644
SL1344_2836	hypC	hydrogenase isoenzymes formation protein HypC	-0.377	5.154	0.116	0.522
SL1344_2837	hypD	hydrogenase isoenzymes formation protein HypD	-0.032	6.214	0.854	1.000
SL1344_2838	hypE	hydrogenase isoenzymes formation protein HypE	0.354	5.172	0.263	0.708
SL1344_2839	fhlA	transcriptional activator of the formate hydrogenlyase system	-0.224	5.872	0.299	0.752
SL1344_2840	ygbA	conserved hypothetical protein	0.092	3.152	1.000	1.000
SL1344_2841	sitA	Iron transport protein, periplasmic-binding protein	0.028	6.952	0.884	1.000
SL1344_2842	sitB	Iron transport protein, ATP-binding component	0.519	3.816	0.254	0.701
SL1344_2843	sitC	Iron transport protein, inner membrane component	0.167	5.329	0.491	0.880
SL1344_2844	sitD	Iron transport protein, inner membrane component	-0.180	7.581	0.156	0.586
SL1344_2845	avrA	Type III secretion system effector protein-regulator of Salmonella-induced inflammatory response	0.138	8.495	0.271	0.716
SL1344_2846	sprB	AraC-family transcriptional regulator	0.056	7.703	0.700	0.970
SL1344_2847	hilC	AraC-family transcriptional regulator	0.568	7.172	0.001	0.016
SL1344_2848	orgC	hypothetical protein found within S. typhi pathogenicity island 1	0.210	7.566	0.118	0.524
SL1344_2849	orgB	oxygen-regulated invasion protein	-0.022	7.597	0.911	1.000
SL1344_2850	orgA	oxygen-regulated invasion protein	0.208	7.083	0.127	0.543
SL1344_2851	prgK	type III secretion system apparatus	0.108	8.445	0.366	0.803
SL1344_2852	prgJ	type III secretion system apparatus	0.289	6.912	0.041	0.288
SL1344_2853	prgI	type III secretion system apparatus	-0.257	4.436	0.423	0.840
SL1344_2854	prgH	type III secretion apparatus component	-0.024	9.252	0.835	1.000
SL1344_2855	hilD	AraC-family transcriptional regulator	0.651	9.720	0.000	0.000
SL1344_2856	hilA	invasion protein regulator	0.222	9.219	0.048	0.317
SL1344_2857	iagB	cell invasion protein	0.109	5.147	0.698	0.970
SL1344_2858	sptP	Type III secretion system effector protein, Inhibits Cdc42 and Rac1 by its GAP activity and MAPK signalling and IL-8 secretion through its tyrosine phosphatase activity	0.073	9.476	0.508	0.891
SL1344_2859	sicP	chaperone (associated with virulence)	-0.007	7.495	0.950	1.000
SL1344_2860	iacP	probable acyl carrier protein	0.458	5.965	0.021	0.180
SL1344_2861	sipA	pathogenicity island 1 Type III secretion system effector protein-involved in actin bundling and polymerisation leading to epithelial cell invasion and formation of the SCV	0.055	9.566	0.622	0.951
SL1344_2862	sipD	pathogenicity island 1 Type III secretion system apparatus-part of the Translocon	-0.026	7.960	0.853	1.000
SL1344_2863	sipC	pathogenicity island 1 Type III secretion system effector protein-involved in bacterial entry by actin bundling and part of the Translocon	0.071	9.250	0.529	0.902
SL1344_2864	sipB	pathogenicity island 1 Type III secretion system effector protein	-0.038	7.146	0.852	1.000
SL1344_2865	sicA	type III secretion-associated chaperone	0.168	7.183	0.261	0.708
SL1344_2866	spaS	type III secretion system secretory apparatus	0.174	7.733	0.216	0.673
SL1344_2867	spaR	type III secretion system secretory apparatus	-0.059	7.630	0.721	0.975
SL1344_2868	spaQ	type III secretion system secretory apparatus	0.534	4.530	0.078	0.421
SL1344_2869	spaP	type III secretion system secretory apparatus	0.099	8.127	0.420	0.839
SL1344_2870	spaO	surface presentation of antigens protein (associated with type III secretion and virulence)	0.082	8.155	0.592	0.937
SL1344_2871	invJ	surface presentation of antigens protein (associated with type III secretion and virulence)	0.227	7.626	0.101	0.488
SL1344_2872	invI	type III secretion system secretory apparatus	-0.048	7.151	0.773	0.988
SL1344_2873	invC	secretory apparatus ATP synthase (associated with virulence)	0.122	7.454	0.360	0.803
SL1344_2874	invB	chaperone protein for type III secretion system effectors	0.032	7.329	0.822	1.000
SL1344_2875	invA	secretory apparatus of type III secretion system	0.167	9.319	0.130	0.544
SL1344_2876	invE	cell invasion protein	0.029	8.799	0.800	0.996
SL1344_2877	invG	type III secretion system secretory apparatus	0.141	9.545	0.207	0.661
SL1344_2878	invF	AraC-family regulatory protein	0.108	8.410	0.394	0.824
SL1344_2879	invH	outer membrane lipoprotein	-0.153	7.681	0.305	0.756
SL1344_2880	SL1344_2880	salmonella pathogenicity island 1 protein	0.139	8.236	0.269	0.713
SL1344_2881	SL1344_2881	salmonella pathogenicity island 1 protein	0.256	7.356	0.069	0.391
SL1344_2882	SL1344_2882	salmonella pathogenicity island 1 protein	0.340	1.946	0.802	0.996
SL1344_2883	SL1344_2883	salmonella pathogenicity island 1 protein	3.070	0.745	0.505	0.889
SL1344_2885	SL1344_2885	salmonella pathogenicity island 1 protein	0.220	6.376	0.191	0.642
SL1344_2885A	SL1344_2885A	pseudogene	0.180	5.191	0.463	0.861
SL1344_2886	pphB	possible serine/threonine protein phosphatase	0.126	7.836	0.340	0.790
SL1344_2887	SL1344_2887	conserved hypothetical protein	-0.049	6.732	0.764	0.985
SL1344_2888	mutS	DNA mismatch repair protein	0.134	6.847	0.355	0.800
SL1344_2889	SL1344_2889	conserved hypotheticalprotein	-0.685	1.745	0.566	0.926
SL1344_2890	SL1344_2890	possible membrane transport protein	-0.136	4.525	0.664	0.963
SL1344_2891	SL1344_2891	possible LysR-family transcriptional regulator	-0.314	4.439	0.321	0.777
SL1344_2892	SL1344_2892	possible permease	0.165	6.025	0.357	0.801
SL1344_2893	SL1344_2893	conserved hypothetical protein	-0.067	4.356	0.946	1.000
SL1344_2894	hyi	hypothetical hydroxypyruvate isomerase	0.629	4.092	0.135	0.550
SL1344_2895	ygbL	possible sugar aldolase	0.165	5.491	0.504	0.889
SL1344_2896	ygbK	conserved hypothetical protein	-0.055	5.515	0.806	0.998
SL1344_2897	ygbJ	conserved hypothetical protein	0.041	6.498	0.827	1.000
SL1344_2898	ygbI	DeoR-family trancriptional regulator	0.584	3.929	0.143	0.562
SL1344_2899	SL1344_2899	hypothetical regulatory protein	-0.248	5.157	0.368	0.803
SL1344_2900	SL1344_2900	possible decarboxylase	0.400	4.265	0.235	0.686
SL1344_2901	SL1344_2901	conserved hypothetical protein	-0.142	6.707	0.327	0.779
SL1344_2902	SL1344_2902	conserved hypothetical protein	-0.232	4.124	0.592	0.937
SL1344_2903	rpoS	RNA polymerase sigma subunit RpoS (sigma-38)	0.928	8.619	0.108	0.506
SL1344_2904	nlpD	lipoprotein NlpD precursor	1.293	6.668	0.001	0.013
SL1344_2905	pcm	Protein-L-isoaspartate O-methyltransferase	-0.004	4.778	1.000	1.000
SL1344_2906	surE	Acid phosphatase surE	0.749	3.446	0.142	0.562
SL1344_2907	truD	tRNA pseudouridine synthase D	0.178	5.764	0.441	0.851
SL1344_2911	ygbE	conserved hypothetical protein	-1.026	3.042	0.073	0.408
SL1344_2912	cysC	Adenylylsulfate kinase	0.204	5.120	0.424	0.841
SL1344_2913	cysN	Sulfate adenylyltransferase subunit 1	0.519	5.589	0.050	0.323
SL1344_2914	cysD	ATP sulfurylase (ATP:sulfate adenyltransferase)	0.163	5.063	0.539	0.904
SL1344_2915	iap	alkaline phosphatase isozyme conversion protein	0.187	6.607	0.227	0.680
SL1344_2916	ygbF	conserved hypothetical protein	0.196	6.495	0.211	0.668
SL1344_2917	SL1344_2917	conserved hypothetical protein	0.244	5.042	0.339	0.790
SL1344_2918	ygcH	conserved hypothetical protein	-0.033	4.870	0.949	1.000
SL1344_2919	SL1344_2919	hypothetical protein	0.243	4.363	0.526	0.902
SL1344_2920	yghJ	hypothetical protein	0.342	5.508	0.180	0.627
SL1344_2921	SL1344_2921	hypothetical protein	0.257	4.864	0.376	0.810
SL1344_2922	SL1344_2922	hypothetical protein	-0.074	6.406	0.701	0.970
SL1344_2923	ygcB	conserved hypothetical protein	-0.074	7.800	0.615	0.947
SL1344_2924	sopD	Type III secretion system effector protein-involved in bacterial invasion, also promotes secretion or accumulation of fluid	-0.158	8.327	0.194	0.645
SL1344_2925	cysH	Phosphoadenosine phosphosulfate reductase	0.019	6.159	1.000	1.000
SL1344_2926	cysI	sulfite reductase (NADPH) hemoprotein alpha subunit	0.140	6.487	0.469	0.865
SL1344_2927	cysJ	sulfite reductase (NADPH) flavoprotein beta subunit	0.343	6.817	0.019	0.172
SL1344_2928	ptpS	6-pyruvoyl tetrahydrobiopterin synthase	-0.278	6.328	0.126	0.542
SL1344_2929	SL1344_2929	hypothetical protein	-0.096	6.474	0.541	0.905
SL1344_2930	ygcF	conserved hypothetical protein	-0.378	5.895	0.116	0.522
SL1344_2931	eno	Enolase	0.057	3.512	1.000	1.000
SL1344_2933	mazG	conserved hypothetical protein	-0.171	6.063	0.395	0.826
SL1344_2934	SL1344_2934	hypothetical fimbrial subunit	-0.013	5.496	1.000	1.000
SL1344_2935	SL1344_2935	hypothetical DNA stabilisation protein	0.011	6.609	0.945	1.000
SL1344_2936	SL1344_2936	conserved hypothetical protein	0.404	4.867	0.186	0.636
SL1344_2937	relA	GTP pyrophosphokinase	-0.971	6.378	0.000	0.000
SL1344_2938	rumA	hypothetical RNA methyltransferase	-0.443	5.674	0.027	0.222
SL1344_2939	barA	sensor protein	0.863	8.694	0.000	0.000
SL1344_2940	SL1344_2940	conserved hypothetical protein	-0.371	4.558	0.253	0.701
SL1344_2941	gudD	probable glucarate dehydratase 1	0.040	5.346	0.880	1.000
SL1344_2942	ygcY	probable glucarate dehydratase	-0.083	6.960	0.569	0.927
SL1344_2943	gudT	probable glucarate transporter	0.112	6.979	0.404	0.830
SL1344_2944	SL1344_2944	conserved hypothetical protein	0.652	4.203	0.112	0.518
SL1344_2945	yqcB	hypothetical RNA pseudouridylate synthase	-0.333	4.829	0.237	0.686
SL1344_2946	yqcC	conserved hypothetical protein	0.957	3.813	0.023	0.197
SL1344_2947	syd	syd protein	0.271	5.307	0.250	0.699
SL1344_2948	queF	conserved hypothetical protein	-0.406	5.430	0.082	0.433
SL1344_2949	ygdH	conserved hypothetical protein	-0.268	5.943	0.157	0.588
SL1344_2950	sdaC	serine transporter	0.372	5.674	0.109	0.508
SL1344_2951	sdaB	L-serine dehydratase 2 (L-serine deaminase 2)	0.146	5.351	0.581	0.932
SL1344_2952	exo	5'-3' exonuclease	-0.086	3.815	0.846	1.000
SL1344_2953	fucO	1,2-propanediol oxidoreductase (lactaldehyde reductase)	0.211	6.135	0.223	0.676
SL1344_2954	fucA	fuculose-1-phosphate aldolase	-0.030	5.969	0.893	1.000
SL1344_2955	fucP	L-fucose permease	-0.025	6.890	0.843	1.000
SL1344_2956	fucI	L-fuculose isomerase	0.203	6.839	0.157	0.588
SL1344_2957	fucK	L-fuculose kinase	0.041	5.633	0.921	1.000
SL1344_2958	fucU	fuscose operon fucU protein	-0.008	2.512	1.000	1.000
SL1344_2959	fucR	l-fucose operon activator	0.300	4.217	0.431	0.845
SL1344_2960	ygdE	conserved hypothetical protein	0.188	5.404	0.437	0.848
SL1344_2961	ygdD	conserved hypothetical protein	0.317	4.674	0.369	0.803
SL1344_2962	gcvA	regulatory protein for glycine cleavage pathway	0.615	6.218	0.000	0.009
SL1344_2963	ygdI	possible lipoprotein	-0.012	6.419	0.971	1.000
SL1344_2964	csdA	possible aminotransferase	0.270	5.075	0.332	0.786
SL1344_2965	ygdK	conserved hypothetical protein	-0.155	6.351	0.377	0.811
SL1344_2966	SL1344_2966	hypothetical membrane protein	0.087	8.195	0.479	0.871
SL1344_2967	ygdL	conserved hypothetical protein	0.010	6.056	1.000	1.000
SL1344_2968	mltA	membrane-bound lytic murein transglycosylase A precursor	0.114	6.510	0.464	0.861
SL1344_2969	amiC	N-acetylmuramoyl-L-alanine amidase	0.194	6.089	0.278	0.726
SL1344_2970	argA	Amino-acid acetyltransferase	0.001	5.348	1.000	1.000
SL1344_2971	recD	exonuclease V alpha-subunit	-0.550	5.721	0.005	0.056
SL1344_2972	recB	exonuclease V subunit	-0.416	2.746	0.632	0.954
SL1344_2973	ptr	protease III precursor (pitrilysin)	0.246	5.924	0.196	0.647
SL1344_2975	comQ	competence gene	-0.460	2.424	0.576	0.932
SL1344_2976	comP	competence gene	-0.227	5.234	0.406	0.832
SL1344_2977	comO	competence gene	0.364	4.840	0.221	0.676
SL1344_2978	comN	competence gene	0.422	4.856	0.134	0.548
SL1344_2981	ptsP	phosphoenolpyruvate-protein phosphotransferase	0.270	7.277	0.048	0.318
SL1344_2984	ygdQ	hypothetical membrane protein	0.071	6.681	0.675	0.963
SL1344_2985	ygdR	possible lipoprotein	0.110	5.084	0.738	0.976
SL1344_2986	tas	possible oxidoreductase	0.826	6.795	0.004	0.046
SL1344_2987	ygeD	hypothetical membrane protein	0.195	5.882	0.321	0.777
SL1344_2988	aas	2-acylglycerophosphoethanolamine acyl transferase/acyl carrier protein synthetase	-0.005	7.795	0.973	1.000
SL1344_2989	galR	galactose operon repressor	-0.477	5.277	0.048	0.317
SL1344_2990	SL1344_2990	possible regulatory protein	-0.035	6.739	0.886	1.000
SL1344_2991	lysA	diaminopimelate decarboxylase	-2.034	5.088	0.000	0.000
SL1344_2992	lysR	transcriptional activator protein LysR	-0.141	2.379	1.000	1.000
SL1344_2993	ygeA	conserved hypothetical protein	0.152	5.762	0.435	0.848
SL1344_2994	araE	arabinose-proton symporter	0.023	6.319	0.908	1.000
SL1344_2995	kduD	2-keto-3-deoxygluconate oxidoreductase	-0.018	7.937	0.875	1.000
SL1344_2996	kduI	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	0.130	6.164	0.475	0.869
SL1344_2997	yqeF	probable acetyl-CoA acetyltransferase	0.189	6.950	0.158	0.589
SL1344_2998	SL1344_2998	possible regulatory protein	-0.042	6.534	0.784	0.990
SL1344_2999	SL1344_2999	conserved hypothetical protein	-0.064	6.746	0.733	0.976
SL1344_3000	SL1344_3000	probable amino acid transport protein	-0.050	9.420	0.695	0.970
SL1344_3001	yohL	conserved hypothetical protein	-0.094	5.013	0.834	1.000
SL1344_3002	yohM	hypothetical High affinity Nickel transport protein	0.304	4.420	0.336	0.790
SL1344_3003	STM3025	regulatory protein	0.439	5.736	0.029	0.231
SL1344_3004	STM30251N	regulatory protein	0.028	7.716	0.840	1.000
SL1344_3005	STM3026	probable fimbrial membrane protein	-0.118	6.394	0.475	0.867
SL1344_3006	stdC	probable fimbrial chaperone protein	0.212	5.440	0.347	0.796
SL1344_3007	stdB	probable outer membrane fimbrial usher protein	0.056	7.083	0.667	0.963
SL1344_3008	stdA	probable fimbrial protein	0.032	7.988	0.805	0.997
SL1344_3009	SL1344_3009	conserved hypothetical protein	-0.014	7.903	0.910	1.000
SL1344_3010	SL1344_3010	outer membrane protein (associated with virulence)	-0.037	7.746	0.772	0.988
SL1344_3011	SL1344_3011	hypothetical protein (assiciated with virulence)	-0.029	5.820	0.962	1.000
SL1344_3012	SL1344_3012	hypothetical protein (assiciated with virulence)	0.160	5.481	0.447	0.855
SL1344_3013	SL1344_3013	conserved hypothetical protein	0.106	5.321	0.658	0.961
SL1344_3014	SL1344_3014	possible lipoprotein	0.142	6.245	0.436	0.848
SL1344_3015	idi	Isopentenyl-diphosphate delta-isomerase	-0.056	5.797	0.816	1.000
SL1344_3018	recJ	single-stranded DNA-specific exonuclease	-0.441	5.906	0.024	0.202
SL1344_3019	dsbC	thiol:disulfide interchange protein	0.182	5.158	0.512	0.893
SL1344_3020	xerD	Tyrosine recombinase xerD.	-0.230	2.594	0.862	1.000
SL1344_3021	fldB	flavodoxin II	0.562	3.376	0.307	0.758
SL1344_3022	ygfX	conserved hypothetical protein	0.011	4.702	1.000	1.000
SL1344_3023	ygfY	conserved hypothetical protein	0.488	3.629	0.240	0.691
SL1344_3025	yqfA	hypothetical membrane protein	-0.197	5.300	0.399	0.826
